ID;timestamp;user;object;action;details
11111111-1111-1111-1111-111111111101;2026-08-10 09:30;Vinh;MO-1001;UPDATE;Priority / Operation changed
11111111-1111-1111-1111-111111111102;2026-08-09 13:20;System;MO-1001;CREATE;Maintenance order created
11111111-1111-1111-1111-111111111103;2026-08-10 09:30;Vinh;MO-1002;UPDATE;Priority / Operation changed
11111111-1111-1111-1111-111111111104;2026-08-09 13:20;System;MO-1002;CREATE;Maintenance order created
11111111-1111-1111-1111-111111111105;2026-08-10 09:30;Vinh;MO-1005;UPDATE;Priority / Operation changed
11111111-1111-1111-1111-111111111106;2026-08-09 13:20;System;MO-1005;CREATE;Maintenance order created
11111111-1111-1111-1111-111111111107;2026-08-10 09:30;Vinh;MO-1007;UPDATE;Priority / Operation changed
11111111-1111-1111-1111-111111111108;2026-08-09 13:20;System;MO-1007;CREATE;Maintenance order created
11111111-1111-1111-1111-111111111109;2026-08-10 09:30;Vinh;MO-1008;UPDATE;Priority / Operation changed
11111111-1111-1111-1111-111111111110;2026-08-09 13:20;System;MO-1008;CREATE;Maintenance order created
