order_no;no;description;workCenter;technician;plannedHours;actualHours;status
MO-1001;10;Cleaning;WC-001;T-001;2;2;COMPLETED
MO-1001;20;Inspection;WC-002;T-002;3;2;IN_PROCESS
MO-1001;30;Bearing replacement;WC-003;T-003;4;0;OPEN
MO-1002;10;Safety check;WC-001;T-001;2;2;COMPLETED
MO-1002;20;Valve inspection;WC-002;T-002;4;4;COMPLETED
MO-1002;30;Lubrication check;WC-003;T-003;4;3;IN_PROCESS
MO-1003;10;Motor test;WC-001;T-001;4;0;OPEN
MO-1003;20;Wiring inspection;WC-002;T-002;4;0;OPEN
MO-1004;10;Quarterly service;WC-001;T-001;8;8;COMPLETED
MO-1004;20;Component testing;WC-002;T-002;8;8;COMPLETED
MO-1005;10;Emergency check;WC-001;T-001;4;0;CANCELLED
